created_at,id,retweet_count,favorite_count
Sun Feb 12 01:04:29 +0000 2017,830583320585068544,16630,66522
Fri Feb 10 21:54:58 +0000 2017,830173239259324417,5644,0
Fri Feb 10 16:53:37 +0000 2017,830097400375152640,2915,9764
Fri Feb 10 02:25:42 +0000 2017,829878982036299777,4967,0
Fri Feb 10 01:15:49 +0000 2017,829861396166877184,1923,12200
Thu Feb 09 01:27:41 +0000 2017,829501995190984704,10510,31617
Wed Feb 08 22:00:52 +0000 2017,829449946868879360,2006,10437
Wed Feb 08 01:35:19 +0000 2017,829141528400556032,7284,24305
Tue Feb 07 17:00:28 +0000 2017,829011960981237760,16218,53048
Tue Feb 07 03:04:22 +0000 2017,828801551087042563,3400,0
Tue Feb 07 01:00:22 +0000 2017,828770345708580865,5828,25518
Mon Feb 06 20:55:28 +0000 2017,828708714936930305,11103,36377
Mon Feb 06 17:02:17 +0000 2017,828650029636317184,1337,9479
Mon Feb 06 01:07:28 +0000 2017,828409743546925057,1159,6344
Mon Feb 06 01:03:14 +0000 2017,828408677031882754,1283,7658
Sun Feb 05 23:15:47 +0000 2017,828381636999917570,2203,12555
Sun Feb 05 22:55:23 +0000 2017,828376505180889089,1062,7361
Sun Feb 05 22:40:03 +0000 2017,828372645993398273,2916,12541
Sun Feb 05 21:56:51 +0000 2017,828361771580813312,173,2189
Sun Feb 05 01:04:17 +0000 2017,828046555563323392,2864,11730
Sat Feb 04 22:45:42 +0000 2017,828011680017821696,2139,10338
Sat Feb 04 17:34:40 +0000 2017,827933404142436356,5223,20047
Fri Feb 03 23:04:02 +0000 2017,827653905312006145,3011,15469
Fri Feb 03 19:31:54 +0000 2017,827600520311402496,936,7445
Fri Feb 03 01:16:53 +0000 2017,827324948884643840,3023,15822
Thu Feb 02 17:00:17 +0000 2017,827199976799354881,2213,10564
Thu Feb 02 01:01:21 +0000 2017,826958653328592898,4967,21540
Wed Feb 01 17:44:55 +0000 2017,826848821049180160,10103,36275
Wed Feb 01 02:17:19 +0000 2017,826615380357632002,3970,0
Wed Feb 01 01:11:25 +0000 2017,826598799820865537,250,5122
Wed Feb 01 01:09:42 +0000 2017,826598365270007810,2330,10041
Tue Jan 31 17:06:32 +0000 2017,826476773533745153,4170,18382
Tue Jan 31 01:27:39 +0000 2017,826240494070030336,2597,13285
Mon Jan 30 23:05:46 +0000 2017,826204788643753985,921,4877
Mon Jan 30 17:10:04 +0000 2017,826115272272650244,3095,15636
Mon Jan 30 01:21:19 +0000 2017,825876512159186944,1863,10481
Sun Jan 29 22:15:05 +0000 2017,825829644528148480,2480,12735
Sun Jan 29 02:44:34 +0000 2017,825535076884762624,17533,56853
Sat Jan 28 01:04:51 +0000 2017,825147591692263424,4530,18284
Fri Jan 27 23:16:13 +0000 2017,825120256414846976,1246,0
Fri Jan 27 17:04:02 +0000 2017,825026590719483904,1246,6302
Fri Jan 27 01:49:15 +0000 2017,824796380199809024,5478,0
Fri Jan 27 00:24:48 +0000 2017,824775126675836928,3500,14906
Thu Jan 26 17:02:56 +0000 2017,824663926340194305,1770,10523
Wed Jan 25 18:38:36 +0000 2017,824325613288833024,10518,11842
Wed Jan 25 16:45:05 +0000 2017,824297048279236611,3845,15069
Tue Jan 24 22:44:42 +0000 2017,824025158776213504,601,4835
Tue Jan 24 17:04:50 +0000 2017,823939628516474880,2705,10637
Tue Jan 24 02:28:08 +0000 2017,823719002937630720,11166,0
Tue Jan 24 01:08:40 +0000 2017,823699002998870016,2516,13998
Mon Jan 23 17:20:14 +0000 2017,823581115634085888,2618,13032
Mon Jan 23 00:56:15 +0000 2017,823333489516937216,24,702
Mon Jan 23 00:13:17 +0000 2017,823322678127919110,4008,15745
Sun Jan 22 20:42:21 +0000 2017,823269594223824897,9875,0
Sun Jan 22 01:12:59 +0000 2017,822975315408461824,3442,17348
Sat Jan 21 18:26:02 +0000 2017,822872901745569793,43164,131626
Sat Jan 21 17:31:20 +0000 2017,822859134160621569,2271,13270
Sat Jan 21 03:29:14 +0000 2017,822647212903690241,6397,0
Sat Jan 21 01:02:48 +0000 2017,822610361945911296,2950,14832
Fri Jan 20 17:00:46 +0000 2017,822489057087389700,6398,18190
Fri Jan 20 15:17:01 +0000 2017,822462944365645825,14275,28028
Fri Jan 20 00:50:15 +0000 2017,822244816520155136,9875,35015
